st_name,cofid,gas-ads
linker110_C_linker87_C_pcb_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1ccc(C)cc1&&pcb.cat0,2.785086686
linker107_C_linker25_C_qtz_relaxed,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N.Cc1ccc(-c2ccc(C)c([N+](=O)[O-])c2)c([N+](=O)[O-])c1&&qtz.cat0,2.8670514514
linker102_NH_linker63_CH2_qtz_relaxed,[NH]c1ccc2c(c1)C1(c3cc([NH])ccc3C2)c2cc([NH])ccc2Cc2ccc([NH])cc21.[CH2]c1cnc([CH2])c(CO)n1&&qtz.cat0,2.6777820298
linker110_C_linker24_C_umw_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1ccc(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])cc1&&umw.cat0,2.9786253888
linker92_C_linker80_C_hca_relaxed,Cc1cc(C)cc(C)c1.Cc1nc(C(C)(C)C)c(C)c(=O)[nH]1&&hca.cat0,2.2426076
linker107_NH_linker57_CH2_qtz_relaxed,[NH]c1cc(-c2cc([NH])c(N)c([NH])c2)cc([NH])c1N.[CH2]c1ccc([CH2])c2c(=O)nc[nH]c12&&qtz.cat0,2.9967930286
linker102_CO_linker71_NH_crb_relaxed,O=Cc1ccc2c(c1)C1(c3cc(C=O)ccc3C2)c2cc(C=O)ccc2Cc2ccc(C=O)cc21.[NH]c1cnc([NH])c(C(N)=O)n1&&crb.cat0,2.9756189058
linker100_N_linker10_CH_uop_relaxed,Nc1cc(N)c(O)c(-c2cc(N)cc(N)c2O)c1.[CH]c1ccc([CH])c([N+](=O)[O-])c1[N+](=O)[O-]&&uop.cat0,2.8967667278
linker110_C_linker26_C_umi_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&umi.cat0,2.8505541784
linker111_NH_linker53_CO_qtz_relaxed,[NH][Si]([NH])([NH])[NH].CCc1nc2c(C=O)ccc(C=O)c2nc1CC&&qtz.cat0,2.9788929166
linker110_CO_linker61_NH_qtz_relaxed,O=CC12CC3(C=O)CC(C=O)(C1)CC(C=O)(C2)C3.[NH]c1cnc([NH])c(N)n1&&qtz.cat0,2.6178041783
linker101_CH2_linker12_NH_qtz_relaxed,[CH2]c1cc([CH2])c(N)c(-c2cc([CH2])cc([CH2])c2N)c1.[NH]c1c(O)c(O)c([NH])c(O)c1O&&qtz.cat0,2.8810665347
linker104_C_linker2_C_lcv_relaxed_interp_2,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1ccc(C)c(O)c1&&lcv.cat1,2.6009898744
linker98_N_linker76_CH_dmp_relaxed_interp_2,Nc1ccc(-c2c3nc(c(-c4ccc(N)cc4)c4ccc([nH]4)c(-c4ccc(N)cc4)c4nc(c(-c5ccc(N)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1.[CH]c1cnc([CH])nc1&&dmp.cat1,2.9869721861
linker102_CO_linker86_NH_dia_relaxed,O=Cc1ccc2c(c1)C1(c3cc(C=O)ccc3C2)c2cc(C=O)ccc2Cc2ccc(C=O)cc21.[NH]c1nnc([NH])c2sc(C(F)(F)F)nc12&&dia.cat0,2.6240908999
linker110_C_linker59_C_ulj_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cnc(C)c(C)n1&&ulj.cat0,2.4589027083
linker107_N_linker58_CH_cds_relaxed_interp_2,Nc1cc(-c2cc(N)c(N)c(N)c2)cc(N)c1N.[CH]c1cnc([CH])cn1&&cds.cat1,2.4989265404
linker110_C_linker110_C_uoq_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.CC12CC3(C)CC(C)(C1)CC(C)(C2)C3&&uoq.cat0,2.9088788534
linker104_CO_linker67_NH_ull_relaxed,O=Cc1cc(-c2cc(C=O)c(O)c(C=O)c2O)c(O)c(C=O)c1O.CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1&&ull.cat0,2.952356055
linker96_CH_linker92_N_clh_relaxed_interp_2,[CH]c1ccc(-c2nc(-c3ccc([CH])cc3)nc(-c3ccc([CH])cc3)n2)cc1.Nc1cc(N)cc(N)c1&&clh.cat1,2.8126371069
linker111_NH_linker72_CO_qtz_relaxed,[NH][Si]([NH])([NH])[NH].CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1&&qtz.cat0,2.9173173883
linker105_CH2_linker29_NH_qtz_relaxed_interp_2,[CH2]c1cc(-c2cc([CH2])c(O)c([CH2])c2)cc([CH2])c1O.[NH]c1cc(N)c(-c2cc([N+](=O)[O-])c([NH])cc2N)cc1[N+](=O)[O-]&&qtz.cat1,2.8221539365
linker111_NH_linker65_CO_qtz_relaxed,[NH][Si]([NH])([NH])[NH].N#Cc1nc(C=O)c(C#N)nc1C=O&&qtz.cat0,2.9946970335
linker106_NH_linker70_CH2_qtz_relaxed,[NH]c1cc(-c2cc([NH])c(N)c([NH])c2N)c(N)c([NH])c1N.[CH2]c1nc(OC)c([CH2])nc1OC&&qtz.cat0,2.8213283841
linker109_CO_linker11_NH_sql_relaxed,O=CC(C=O)(C=O)C=O.[NH]c1c(N)c(N)c([NH])c(N)c1N&&sql.cat0,2.5420744083
linker99_NH_linker6_CO_qdl_relaxed,[NH]C1([NH])C=C(c2ccccc2)CC([NH])([NH])C1.O=Cc1cc([N+](=O)[O-])c(C=O)c([N+](=O)[O-])c1&&qdl.cat0,2.9391279535
linker92_C_linker6_C_hnb_relaxed,Cc1cc(C)cc(C)c1.Cc1cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c1&&hnb.cat0,2.6727739344
linker109_C_linker12_C_sra_relaxed,CC(C)(C)C.Cc1c(O)c(O)c(C)c(O)c1O&&sra.cat0,2.9628383145
linker110_C_linker26_C_gsi_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&gsi.cat0,2.676518197
linker108_N_linker30_CH_tcb_relaxed_interp_2,Nc1cc(N)c2ccc3c(N)cc(N)c4ccc1c2c43.[CH]c1ccc(-c2ccc([CH])cn2)nc1&&tcb.cat1,2.3387054632
linker102_C_linker10_C_gis_relaxed,Cc1ccc2c(c1)C1(c3cc(C)ccc3C2)c2cc(C)ccc2Cc2ccc(C)cc21.Cc1ccc(C)c([N+](=O)[O-])c1[N+](=O)[O-]&&gis.cat0,2.7755430769
linker105_N_linker72_CH_pcl_relaxed,Nc1cc(-c2cc(N)c(O)c(N)c2)cc(N)c1O.CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1&&pcl.cat0,2.99781097
linker105_CO_linker12_NH_qzd_relaxed,O=Cc1cc(-c2cc(C=O)c(O)c(C=O)c2)cc(C=O)c1O.[NH]c1c(O)c(O)c([NH])c(O)c1O&&qzd.cat0,2.9758334052
linker109_NH_linker87_CO_qtz_relaxed_interp_2,[NH]C([NH])([NH])[NH].O=Cc1ccc(C=O)cc1&&qtz.cat1,2.9367376582
linker106_C_linker65_C_mer_relaxed,Cc1cc(-c2cc(C)c(N)c(C)c2N)c(N)c(C)c1N.Cc1nc(C#N)c(C)nc1C#N&&mer.cat0,2.8993125459
linker110_C_linker26_C_pcb_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&pcb.cat0,2.6489781269
linker106_CH_linker8_N_qtz_relaxed,[CH]c1cc(-c2cc([CH])c(N)c([CH])c2N)c(N)c([CH])c1N.Nc1cc([N+](=O)[O-])c(N)cc1[N+](=O)[O-]&&qtz.cat0,2.9675063727
linker100_C_linker81_C_dia_relaxed_interp_2,Cc1cc(C)c(O)c(-c2cc(C)cc(C)c2O)c1.Cc1ccc(C)nn1&&dia.cat1,2.6420146371
linker100_CH2_linker61_NH_qtz_relaxed,[CH2]c1cc([CH2])c(O)c(-c2cc([CH2])cc([CH2])c2O)c1.[NH]c1cnc([NH])c(N)n1&&qtz.cat0,2.9272338719
linker102_NH_linker86_CO_qtz_relaxed,[NH]c1ccc2c(c1)C1(c3cc([NH])ccc3C2)c2cc([NH])ccc2Cc2ccc([NH])cc21.O=Cc1nnc(C=O)c2sc(C(F)(F)F)nc12&&qtz.cat0,2.9570509515
linker106_NH_linker82_CO_qtz_relaxed,[NH]c1cc(-c2cc([NH])c(N)c([NH])c2N)c(N)c([NH])c1N.Cc1cc(C=O)nnc1C=O&&qtz.cat0,2.9789785392
linker110_CH2_linker6_NH_qtz_relaxed,[CH2]C12CC3([CH2])CC([CH2])(C1)CC([CH2])(C2)C3.[NH]c1cc([N+](=O)[O-])c([NH])c([N+](=O)[O-])c1&&qtz.cat0,2.6510523975
linker96_C_linker96_C_clh_relaxed_interp_5,Cc1ccc(-c2nc(-c3ccc(C)cc3)nc(-c3ccc(C)cc3)n2)cc1.Cc1ccc(-c2nc(-c3ccc(C)cc3)nc(-c3ccc(C)cc3)n2)cc1&&clh.cat4,2.9177336181
linker106_C_linker24_C_dia_relaxed,Cc1cc(-c2cc(C)c(N)c(C)c2N)c(N)c(C)c1N.Cc1ccc(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])cc1&&dia.cat0,2.7326177381
linker102_C_linker61_C_uot_relaxed,Cc1ccc2c(c1)C1(c3cc(C)ccc3C2)c2cc(C)ccc2Cc2ccc(C)cc21.Cc1cnc(C)c(N)n1&&uot.cat0,2.3984769689
linker110_C_linker64_C_ulj_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cnc(C)c(C=O)n1&&ulj.cat0,2.9482869382
linker106_NH_linker74_CO_und_relaxed,[NH]c1cc(-c2cc([NH])c(N)c([NH])c2N)c(N)c([NH])c1N.O=Cc1cnc(C=O)c(C(=O)[O-])n1&&und.cat0,2.8914240271
linker101_C_linker25_C_qtz_relaxed,Cc1cc(C)c(N)c(-c2cc(C)cc(C)c2N)c1.Cc1ccc(-c2ccc(C)c([N+](=O)[O-])c2)c([N+](=O)[O-])c1&&qtz.cat0,2.790248489
linker109_CH_linker11_N_cdl_relaxed,[CH]C([CH])([CH])[CH].Nc1c(N)c(N)c(N)c(N)c1N&&cdl.cat0,2.9557231612
linker109_C_linker40_C_sql_relaxed,CC(C)(C)C.Cc1cnc2c(c1)C(=O)C(=O)c1cc(C)cnc1-2&&sql.cat0,2.7660817119
linker104_C_linker42_C_lcv_relaxed_interp_2,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1c2ncoc2c(C)c2ncoc12&&lcv.cat1,2.3119457417
linker111_CO_linker26_NH_qtz_relaxed_interp_3,O=C[Si](C=O)(C=O)C=O.[NH]c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([NH])cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&qtz.cat2,2.3126701311
linker104_C_linker59_C_ulj_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1cnc(C)c(C)n1&&ulj.cat0,2.9362498378
linker101_C_linker12_C_qtz_relaxed,Cc1cc(C)c(N)c(-c2cc(C)cc(C)c2N)c1.Cc1c(O)c(O)c(C)c(O)c1O&&qtz.cat0,2.8691283462
